strategy,rack_id,workload_expected_visits,distinct_sku_count,inventory_load_count
Pure affinity,G17_6,2419.0,12,12
Pure affinity,G17_7,4345.0,12,12
Pure affinity,G17_8,5380.0,12,12
Pure affinity,G17_9,5269.0,12,12
Pure affinity,G18_1,1037.0,12,12
Pure affinity,G18_10,5450.0,12,12
Pure affinity,G18_12,5928.0,12,12
Pure affinity,G18_13,6195.0,12,12
Pure affinity,G18_14,6144.0,12,12
Pure affinity,G18_15,5650.0,12,12
Pure affinity,G18_2,843.0,12,12
Pure affinity,G18_4,1736.0,12,12
Pure affinity,G18_5,1249.0,12,12
Pure affinity,G18_6,1654.0,12,12
Pure affinity,G18_7,3381.0,12,12
Pure affinity,G18_8,4841.0,12,12
Pure affinity,G18_9,5516.0,12,12
Pure affinity,G20_1,542.0,12,12
Pure affinity,G20_10,4344.0,12,12
Pure affinity,G20_12,4867.0,12,12
Pure affinity,G20_13,5137.0,12,12
Pure affinity,G20_14,4199.0,12,12
Pure affinity,G20_15,4157.0,12,12
Pure affinity,G20_2,503.0,12,12
Pure affinity,G20_4,2162.0,12,12
Pure affinity,G20_5,1968.0,12,12
Pure affinity,G20_6,2288.0,12,12
Pure affinity,G20_7,1848.0,12,12
Pure affinity,G20_8,2761.0,12,12
Pure affinity,G20_9,3762.0,12,12
Pure affinity,G21_1,458.0,12,12
Pure affinity,G21_10,3330.0,12,12
Pure affinity,G21_12,3803.0,12,12
Pure affinity,G21_13,4050.0,12,12
Pure affinity,G21_14,3394.0,12,12
Pure affinity,G21_15,2224.0,12,12
Pure affinity,G21_2,357.0,12,12
Pure affinity,G21_4,2188.0,12,12
Pure affinity,G21_5,512.0,12,12
Pure affinity,G21_6,436.0,12,12
Pure affinity,G21_7,641.0,12,12
Pure affinity,G21_8,447.0,12,12
Pure affinity,G21_9,2414.0,12,12
Pure affinity,G23_1,255.0,12,12
Pure affinity,G23_10,367.0,12,12
Pure affinity,G23_12,1217.0,12,12
Pure affinity,G23_13,1318.0,12,12
Pure affinity,G23_14,1443.0,12,12
Pure affinity,G23_15,1475.0,12,12
Pure affinity,G23_2,825.0,12,12
Pure affinity,G23_4,655.0,12,12
Pure affinity,G23_5,907.0,12,12
Pure affinity,G23_6,418.0,12,12
Pure affinity,G23_7,1256.0,12,12
Pure affinity,G23_8,1024.0,12,12
Pure affinity,G23_9,51.0,12,12
Pure affinity,G24_1,262.0,11,12
Pure affinity,G24_12,310.0,12,12
Pure affinity,G24_13,663.0,12,12
Pure affinity,G24_14,1063.0,12,12
Pure affinity,G24_15,1152.0,12,12
Pure affinity,G24_2,284.0,11,12
Pure affinity,G24_4,801.0,12,12
Pure affinity,G24_5,754.0,12,12
Pure affinity,G24_6,560.0,12,12
Pure affinity,G24_7,725.0,12,12
Pure affinity,G24_8,780.0,12,12
Pure affinity,G26_10,106.0,12,12
Pure affinity,G26_12,303.0,12,12
Pure affinity,G26_13,362.0,12,12
Pure affinity,G26_14,684.0,12,12
Pure affinity,G26_15,1253.0,12,12
Pure affinity,G26_2,145.0,5,12
Pure affinity,G26_4,181.0,9,12
Pure affinity,G26_5,276.0,11,12
Pure affinity,G26_6,248.0,11,12
Pure affinity,G26_7,262.0,12,12
Pure affinity,G26_8,349.0,12,12
Pure affinity,G26_9,512.0,12,12
Pure affinity,G27_10,219.0,10,12
Pure affinity,G27_12,206.0,9,12
Pure affinity,G27_13,145.0,12,12
Pure affinity,G27_14,562.0,12,12
Pure affinity,G27_15,788.0,12,12
Pure affinity,G27_2,111.0,4,12
Pure affinity,G27_4,150.0,6,12
