sku,pick_frequency,total_quantity_ea,active_days,cumulative_frequency_share,velocity_class,req_max_item_length,req_max_item_width,req_max_item_height,req_max_item_weight,physical_data_status,physical_storage_class
107166,84,1332.0,16,0.99167,C,4.9,5.0,12.7,,MISSING,UNVERIFIED_OVERSIZE
110257,84,1320.0,57,0.991756,C,6.5,9.5,8.5,,MISSING,UNVERIFIED_OVERSIZE
117418,84,184.0,51,0.991841,C,,,,,MISSING,UNVERIFIED_OVERSIZE
114522,82,1380.0,16,0.991925,C,9.2,7.0,6.3,,MISSING,UNVERIFIED_OVERSIZE
122687,82,864.0,15,0.992008,C,,,,,MISSING,UNVERIFIED_OVERSIZE
112400,81,345.0,56,0.99209,C,9.7,2.0,5.0,,MISSING,UNVERIFIED_OVERSIZE
137560,81,188.0,62,0.992173,C,,,,,MISSING,UNVERIFIED_OVERSIZE
107264,80,141.0,38,0.992254,C,13.7,3.0,7.2,,MISSING,UNVERIFIED_OVERSIZE
110457,80,1380.0,56,0.992336,C,10.6,15.0,9.8,85.0,COMPLETE,STANDARD
118531,80,120.0,52,0.992417,C,,,,,MISSING,UNVERIFIED_OVERSIZE
107170,78,5000.0,54,0.992496,C,12.0,12.0,10.5,,MISSING,UNVERIFIED_OVERSIZE
107188,78,360.0,24,0.992576,C,5.5,5.5,12.0,,MISSING,UNVERIFIED_OVERSIZE
110431,78,340.0,37,0.992655,C,12.3,1.5,5.5,,MISSING,UNVERIFIED_OVERSIZE
111623,78,158.0,60,0.992734,C,4.3,12.9,3.2,25.0,COMPLETE,STANDARD
112028,78,400.0,60,0.992814,C,10.5,2.0,7.5,,MISSING,UNVERIFIED_OVERSIZE
126345,78,459.0,58,0.992893,C,4.9,10.5,5.0,30.0,COMPLETE,STANDARD
131532,77,2020.0,52,0.992971,C,,,,,MISSING,UNVERIFIED_OVERSIZE
149303,77,136.0,50,0.99305,C,,,,,MISSING,UNVERIFIED_OVERSIZE
122678,76,8300.0,18,0.993127,C,,,,,MISSING,UNVERIFIED_OVERSIZE
101277,74,143.0,31,0.993202,C,16.0,10.5,4.5,,MISSING,UNVERIFIED_OVERSIZE
120257,74,9301.0,24,0.993278,C,,,,,MISSING,UNVERIFIED_OVERSIZE
101234,73,188.0,16,0.993352,C,18.1,3.5,4.8,,MISSING,UNVERIFIED_OVERSIZE
118430,73,3417.0,13,0.993426,C,,,,,MISSING,UNVERIFIED_OVERSIZE
110332,72,450.0,53,0.993499,C,,,,,MISSING,UNVERIFIED_OVERSIZE
122555,70,1230.0,20,0.993571,C,,,,,MISSING,UNVERIFIED_OVERSIZE
101137,69,666.0,12,0.993641,C,6.5,4.0,14.2,,MISSING,UNVERIFIED_OVERSIZE
107197,69,161.0,51,0.993711,C,2.8,11.9,5.5,45.0,COMPLETE,STANDARD
112077,69,124.0,50,0.993781,C,4.0,4.0,7.0,,MISSING,UNVERIFIED_OVERSIZE
139147,69,1728.0,12,0.993851,C,,,,,MISSING,UNVERIFIED_OVERSIZE
107209,68,204.0,56,0.993921,C,4.5,14.3,6.2,15.0,COMPLETE,STANDARD
111269,68,1020.0,22,0.99399,C,10.9,4.0,6.0,,MISSING,UNVERIFIED_OVERSIZE
112262,68,3100.0,16,0.994059,C,,,,,MISSING,UNVERIFIED_OVERSIZE
118459,68,2304.0,22,0.994128,C,,,,,MISSING,UNVERIFIED_OVERSIZE
101101,67,149.0,51,0.994196,C,4.2,12.6,6.2,20.0,COMPLETE,STANDARD
115172,67,97.0,50,0.994264,C,4.3,19.3,5.3,130.0,COMPLETE,OVERSIZE
