resource_id,capacity,before_load,after_load,before_normalized_load,after_normalized_load
lane:1289,,0.0,0.0,0.0,0.0
lane:129,,0.0,6107.999999999998,0.0,0.30905031366746955
lane:1290,,0.0,0.0,0.0,0.0
lane:1291,,0.0,0.0,0.0,0.0
lane:1292,,0.0,88.0,0.0,0.004452591290559484
lane:1293,,0.0,235.99999999999991,0.0,0.011941040279227702
lane:1294,,0.0,432.0000000000001,0.0,0.021858175426382926
lane:1295,,0.0,741.9999999999997,0.0,0.03754344019994472
lane:1296,,0.0,1270.0000000000005,0.0,0.06425898794330166
lane:1297,,0.0,1861.0000000000018,0.0,0.0941621862696728
lane:1298,,0.0,2575.9999999999973,0.0,0.1303394905054684
lane:1299,,0.0,2575.9999999999973,0.0,0.1303394905054684
lane:13,,0.0,0.0,0.0,0.0
lane:130,,0.0,6184.499999999999,0.0,0.31292103223255824
lane:1300,,0.0,3634.999999999997,0.0,0.1839223788770876
lane:1301,,0.0,4877.000000000006,0.0,0.24676463322793898
lane:1302,,0.0,6314.000000000007,0.0,0.3194734250976433
lane:1303,,0.0,8025.000000000009,0.0,0.40604596712204427
lane:1304,,0.0,8025.000000000009,0.0,0.40604596712204427
lane:1305,,0.0,0.0,0.0,0.0
lane:1306,,0.0,0.0,0.0,0.0
lane:1307,,0.0,0.0,0.0,0.0
lane:1308,,0.0,60.0,0.0,0.003035857698108739
lane:1309,,0.0,201.0,0.0,0.010170123288664274
lane:131,,0.0,6184.499999999999,0.0,0.31292103223255824
lane:1310,,0.0,396.0,0.0,0.020036660807517676
lane:1311,,0.0,672.0,0.0,0.03400160621881788
lane:1312,,0.0,1174.0,0.0,0.059401615626327654
lane:1313,,0.0,1731.9999999999998,0.0,0.08763509221873891
lane:1314,,0.0,1731.9999999999998,0.0,0.08763509221873891
lane:1315,,0.0,2632.0000000000005,0.0,0.13317295769037005
lane:1316,,0.0,3664.999999999999,0.0,0.1854403077261421
lane:1317,,0.0,4939.0,0.0,0.24990168618265102
lane:1318,,0.0,6363.000000000001,0.0,0.3219527088844318
lane:1319,,0.0,6363.000000000001,0.0,0.3219527088844318
lane:132,,0.0,6184.499999999999,0.0,0.31292103223255824
lane:1320,,0.0,0.0,0.0,0.0
lane:1321,,0.0,0.0,0.0,0.0
lane:1322,,0.0,0.0,0.0,0.0
lane:1323,,0.0,0.0,0.0,0.0
lane:1324,,0.0,0.0,0.0,0.0
lane:1325,,0.0,0.0,0.0,0.0
lane:1326,,0.0,0.0,0.0,0.0
lane:1327,,0.0,0.0,0.0,0.0
lane:1328,,0.0,0.0,0.0,0.0
lane:1329,,0.0,0.0,0.0,0.0
lane:133,,0.0,6184.499999999999,0.0,0.31292103223255824
lane:1330,,0.0,0.0,0.0,0.0
lane:1331,,0.0,0.0,0.0,0.0
lane:1332,,0.0,0.0,0.0,0.0
lane:1333,,0.0,0.0,0.0,0.0
lane:1334,,0.0,0.0,0.0,0.0
lane:134,,0.0,6184.499999999999,0.0,0.31292103223255824
lane:135,,0.0,6184.499999999999,0.0,0.31292103223255824
lane:136,,0.0,0.0,0.0,0.0
lane:137,,0.0,0.0,0.0,0.0
lane:138,,0.0,0.0,0.0,0.0
lane:139,,0.0,0.0,0.0,0.0
lane:14,,0.0,0.0,0.0,0.0
lane:140,,0.0,0.0,0.0,0.0
lane:141,,0.0,0.0,0.0,0.0
lane:142,,0.0,0.0,0.0,0.0
lane:143,,0.0,0.0,0.0,0.0
lane:144,,0.0,0.0,0.0,0.0
lane:145,,0.0,0.0,0.0,0.0
lane:146,,0.0,0.0,0.0,0.0
lane:147,,0.0,0.0,0.0,0.0
lane:148,,0.0,0.0,0.0,0.0
