sku,handling_unit_id,from_rack,to_rack,from,to
149346,SHELF_144,G22_10,G33_14,Z15/A02/B-G22_10/L03/S03,Z18/A04/B-G33_14/L01/S03
149347,SHELF_017,G8_13,G11_14,Z06/A02/B-G8_13/L02/S02,Z09/A02/B-G11_14/L01/S04
149398,SHELF_145,G2_9,G4_10,Z01/A01/B-G2_9/L03/S02,Z01/A03/B-G4_10/L01/S01
149467,SHELF_141,G3_14,G27_9,Z04/A02/B-G3_14/L01/S04,Z17/A01/B-G27_9/L02/S01
149642,SHELF_215,G2_9,G4_7,Z01/A01/B-G2_9/L02/S01,Z01/A03/B-G4_7/L01/S03
149920,SHELF_187,G3_13,G20_4,Z04/A02/B-G3_13/L01/S02,Z14/A02/B-G20_4/L02/S01
150452,SHELF_150,G21_8,G7_8,Z15/A01/B-G21_8/L03/S01,Z06/A01/B-G7_8/L01/S03
150455,SHELF_243,G10_8,G7_4,Z09/A01/B-G10_8/L03/S02,Z06/A01/B-G7_4/L01/S01
214618,SHELF_151,G11_12,G10_6,Z09/A02/B-G11_12/L03/S04,Z09/A01/B-G10_6/L01/S02
214619,SHELF_128,G21_10,G21_7,Z15/A01/B-G21_10/L03/S04,Z15/A01/B-G21_7/L02/S02
