sku,max_item_length,max_item_width,max_item_height,max_item_weight,chilled,tablet,flammable
101318,0.105,0.027,0.061,0.0237,false,true,false
101322,0.13,0.042,0.07,0.07312,true,true,false
101325,0.03,0.03,0.07,0.015,false,false,true
101326,0.05,0.114,0.07,0.05,false,false,false
101327,0.058,0.094,0.04,0.04172,false,false,false
101328,0.05,0.145,0.1,0.09,false,false,false
101329,0.051,0.149,0.102,0.095,false,false,false
101330,0.087,0.15,0.099,0.165,false,true,false
101332,0.041,0.149,0.079,0.025,false,true,false
101333,0.042,0.147,0.08,0.05,false,false,false
101334,0.149,0.064,0.075,0.09803,false,true,false
101335,0.042,0.147,0.067,0.025,false,true,false
101336,0.093,0.151,0.064,0.095,false,true,false
101337,0.063,0.077,0.025,0.03,false,false,false
104356,0.047,0.067,0.05,0.03012,false,true,false
104357,0.071,0.094,0.06,0.05488,false,false,false
104397,0.047,0.067,0.05,0.03012,true,false,false
104398,0.08,0.037,0.071,0.04021,false,true,false
104429,0.131,0.036,0.09,0.05817,false,false,true
104505,0.11,0.107,0.07,0.025,false,false,false
105271,0.17,0.143,0.094,0.355,false,false,false
105418,0.075,0.152,0.082,0.085,false,false,true
107034,0.123,0.02,0.05,0.02353,false,true,false
107094,0.042,0.062,0.045,0.025,false,true,false
107095,0.028,0.084,0.06,0.014,true,true,false
107101,0.039,0.04,0.07,0.015,false,false,false
107102,0.068,0.126,0.026,0.035,false,false,false
107103,0.091,0.104,0.029,0.025,true,true,false
107104,0.048,0.048,0.125,0.04457,false,true,false
107105,0.045,0.122,0.032,0.03,true,false,false
107106,0.047,0.067,0.05,0.03012,false,false,false
107107,0.042,0.133,0.075,0.05742,false,false,false
107108,0.118,0.028,0.07,0.0317,false,false,false
107110,0.047,0.067,0.05,0.03012,false,false,false
107112,0.047,0.067,0.05,0.03012,false,false,false
107113,0.055,0.115,0.06,0.105,false,true,false
107116,0.046,0.123,0.055,0.02,true,false,false
107120,0.102,0.02,0.052,0.0203,false,true,false
107121,0.102,0.025,0.052,0.02537,false,false,true
107123,0.071,0.094,0.06,0.05488,false,true,false
107124,0.067,0.09,0.024,0.02,false,false,false
107129,0.055,0.055,0.095,0.05498,false,true,false
107130,0.06,0.088,0.037,0.03,false,true,false
107131,0.035,0.147,0.052,0.05119,false,true,false
107133,0.067,0.017,0.049,0.015,true,true,false
107135,0.13,0.058,0.062,0.08944,false,false,false
107136,0.036,0.095,0.039,0.07,false,false,false
107144,0.046,0.071,0.041,0.015,true,true,false
107146,0.042,0.042,0.065,0.02194,false,true,false
107149,0.044,0.044,0.075,0.0199,false,false,true
107151,0.047,0.067,0.05,0.03012,false,true,false
107153,0.045,0.045,0.075,0.02082,false,true,false
107154,0.035,0.133,0.053,0.02,false,true,false
107159,0.035,0.105,0.067,0.04,false,true,false
107162,0.045,0.045,0.107,0.04146,false,true,false
107164,0.035,0.16,0.055,0.03,false,true,false
107165,0.05,0.05,0.076,0.03635,false,true,false
107166,0.049,0.05,0.127,0.05953,false,true,false
107168,0.056,0.082,0.023,0.02,false,false,false
107170,0.12,0.12,0.105,0.18,false,false,false
107171,0.056,0.098,0.025,0.045,false,false,false
107172,0.062,0.055,0.125,0.08155,false,false,false
107173,0.049,0.105,0.052,0.03667,true,false,false
107174,0.059,0.092,0.038,0.05,false,true,false
107175,0.035,0.147,0.082,0.015,false,true,false
107176,0.039,0.127,0.05,0.021,false,true,false
107177,0.113,0.175,0.06,0.09,true,false,true
107178,0.057,0.057,0.122,0.07584,false,false,true
107180,0.047,0.067,0.05,0.03012,false,true,false
107186,0.095,0.02,0.04,0.01042,false,true,false
107188,0.055,0.055,0.12,0.06945,false,false,false
107192,0.098,0.02,0.057,0.02138,false,true,false
107195,0.047,0.067,0.05,0.03012,true,true,false
107197,0.028,0.119,0.055,0.045,false,true,false
107198,0.047,0.067,0.05,0.03012,false,false,false
107199,0.05,0.106,0.043,0.045,false,true,false
107202,0.09,0.17,0.084,0.565,false,true,false
107204,0.125,0.018,0.062,0.01912,false,true,false
107207,0.042,0.14,0.087,0.06,false,false,false
107209,0.045,0.143,0.062,0.015,false,true,false
107210,0.033,0.114,0.052,0.06,false,true,false
107212,0.115,0.018,0.061,0.02416,false,false,false
107213,0.061,0.115,0.025,0.015,false,true,false
107217,0.045,0.045,0.115,0.04456,false,true,false
107219,0.05,0.05,0.105,0.05022,false,false,false
107223,0.09,0.042,0.145,0.07512,false,true,false
107224,0.049,0.116,0.033,0.02,false,true,false
107225,0.119,0.025,0.051,0.0208,false,true,false
107226,0.049,0.049,0.125,0.04645,false,false,false
107227,0.045,0.045,0.12,0.04649,false,true,false
107229,0.1,0.025,0.055,0.02631,false,false,true
