rack_id,abc_present,abc_skus,abc_sku_count,abc_load_count,abc_weight_kg,abc_visit_load,abc_occupied_slots,affinity_present,affinity_skus,affinity_sku_count,affinity_load_count,affinity_weight_kg,affinity_visit_load,affinity_occupied_slots,ctbsa_present,ctbsa_skus,ctbsa_sku_count,ctbsa_load_count,ctbsa_weight_kg,ctbsa_visit_load,ctbsa_occupied_slots,affinity_sku_set_changed_vs_abc,affinity_load_set_changed_vs_abc,ctbsa_sku_set_changed_vs_abc,ctbsa_load_set_changed_vs_abc
G27_14,True,101021|101164|110109|110192|110199|110449|110527|111367|112364|112368|115951|117427,12,12,41.65584,3188.0,12,True,101043|107108|107149|107164|107251|107288|110608|111345|112039|113114|132450|134639,12,12,22.97408,1395.0,12,True,101207|110141|110285|110368|110381|120049|122643|132437|135156,9,9,61.86656000000001,3245.0,9,True,True,True,True
G27_15,True,101063|107303|110215|110412|110485|110618|111281|111348|112283|112430|131976|135158,12,12,36.287009999999995,4128.0,12,True,107212|107388|110445|110620|111296|113124|113159|113195|124034|124794|125175|214619,12,12,18.38647,2199.0,12,True,101093|107271|107389|110385|112072|112332|117084|123311|132437|132450|139112,11,11,46.63626,3291.0,11,True,True,True,True
G27_2,True,132437,1,12,148.72896,129.0,12,False,,0,0,0.0,0.0,0,True,101069|101329|107166|110328|110393|110475|111330|112302|117010|131889,10,10,85.25622,1346.0,10,True,True,True,True
G27_4,True,131889|132437|139112,3,12,100.21632000000002,72.0,12,True,111391|131889|132437|139112,4,12,110.39724000000002,110.0,12,True,107238|107364|110278|111391|117024|123310|132437,7,8,71.65632,1403.0,8,True,True,True,True
G27_5,True,111391|131889|132437|139112,4,12,111.61224000000003,111.0,12,True,111391|131889|132437|139112,4,12,110.39724000000002,108.0,12,True,107135|107164|107416|110231|110393|110483|112267|112302|132437|132450,10,11,85.02829,1670.0,11,False,True,True,True
G27_6,True,110150|110278|110393|110475|111391|131889|132437|132450|139112,9,12,134.56816,177.0,12,True,101330|110150|110161|110231|110278|110393|110475|111391|121875|132437|132450|139112,12,12,133.04708,568.0,12,True,110278|110492|111342|112083|132437|132450|133947|134029|140005,9,9,94.59016,1916.0,9,True,True,True,True
G27_7,True,110150|110172|110231|110278|110379|110393|111897|112432|131889|132437|132450|139112,12,12,132.69446000000002,344.0,12,True,110150|110161|110172|110278|110379|110393|111391|111897|112432|121875|131889|139112,12,12,131.97138,309.0,12,True,101044|107405|110395|110475|110492|110529|121875|124896|131889|132437|139112,11,11,63.975539999999995,1872.0,11,True,True,True,True
G27_8,True,101330|110221|110231|110299|110475|111261|111376|111391|120450|123310|124704|136923,12,12,139.34197,2263.0,12,True,101330|110172|110231|110299|110379|110475|111897|112432|131889|132437|132450|134029,12,12,144.03673999999998,838.0,12,True,107382|110137|110354|111283|112039|112208|131889|132437|132607,9,9,61.137879999999996,2135.0,9,True,True,True,True
G27_9,True,101164|107573|110379|110426|110542|111265|111897|112247|112357|112432|112435|115951,12,12,133.22206999999997,1059.0,12,True,101330|110150|110161|110231|110278|110299|110342|110393|110475|111391|121875|139112,12,12,132.51672,766.0,12,True,110151|110599|111795|112010|132437|139112,6,10,77.62053,2378.0,10,True,True,True,True
G28_10,True,101200|110168|110193|110297|110298|110393|110492|111283|111330|111362|111380|124207,12,12,128.99437,2825.0,12,True,101330|110172|110231|110379|110475|111391|111897|112432|121875|131889|132437|132450,12,12,143.72446000000002,538.0,12,True,101200|101307|107244|110150|110302|110381|110606|112330|115770|115786|124008,11,11,78.18968000000001,2303.0,11,True,True,True,True
G28_12,True,101019|101082|101144|107393|110447|110503|121568|121874|125121|125174|131888|137575,12,12,12.269320000000002,492.0,12,True,101289|107349|110503|112267|114747|116041|118396|125831|131530|137575|139243|140965,12,12,3.1005499999999997,316.0,12,True,101060|107332|107451|110298|110509|111269|111391|112247|124208|138090,10,10,49.36689000000001,2560.0,10,True,True,True,True
G28_13,True,101043|107149|107288|110404|110487|111244|112191|112251|118504|138388|138904|141084,12,12,30.914080000000002,1451.0,12,True,101082|101234|110217|110354|111269|111344|112400|113098|114522|123069|125172|135742,12,12,21.86523,844.0,12,True,101117|109534|110166|110172|110221|110299|110485|111337|120450|121807|121926,11,11,84.72909,2785.0,11,True,True,True,True
G28_14,True,101033|107311|110181|110209|110710|111383|112041|112217|120447|125389|132414|132610,12,12,46.65227000000001,2551.0,12,True,101125|101285|101326|107202|110495|112071|112205|112229|113170|113205|115973|121567,12,12,10.42249,1448.0,12,True,101164|110172|110232|110484|111391|112198|112229|121875|122645|132437|138388,11,11,96.45177999999999,3057.0,11,True,True,True,True
G28_15,True,101096|101281|101282|107444|110212|110394|110497|110552|111243|111998|112313|134916,12,12,54.955000000000005,3637.0,12,True,101159|107230|107332|110266|110268|110506|110576|111274|111357|111377|117140|139236,12,12,25.3221,1749.0,12,True,101075|101333|110161|110511|110520|118513|120167|131889|132437|135742|139112,11,11,67.12231999999999,3286.0,11,True,True,True,True
G28_2,False,,0,0,0.0,0.0,0,False,,0,0,0.0,0.0,0,True,110393|110475|111391|112208|112340|131653|131889|132450,8,8,83.58876,1184.0,8,False,False,True,True
G28_4,True,132437,1,12,148.72896,129.0,12,True,111391|131889|132437|139112,4,12,110.39724000000002,111.0,12,True,109534|110278|110448|110469|111795|112021|112379|113118|132437|132450|139112,11,12,112.61956,1464.0,12,True,True,True,True
G28_5,True,131889|132437|139112,3,12,100.21632000000002,73.0,12,True,111391|131889|132437|139112,4,12,110.39724000000002,111.0,12,True,107381|110172|110390|110393|111265|111391|112273|122778|139112,9,9,70.97852,1625.0,9,True,True,True,True
G28_6,True,111391|131889|132437|139112,4,12,111.61224000000003,113.0,12,True,111391|131889|132437|139112,4,12,110.39724000000002,111.0,12,True,101085|110381|110489|111277|112320,5,5,25.10781,1658.0,5,False,True,True,True
G28_7,True,110150|110278|110393|110475|111391|131889|132437|132450|139112,9,12,134.93816,180.0,12,True,110150|110278|110393|110475|111391|111897|112432|121875|131889|132437|132450|139112,12,12,133.58408,256.0,12,True,101128|110355|110485|112044|112211|112432|124008|131889|132437|139112,10,12,100.86166,1865.0,12,True,True,True,True
G28_8,True,101330|110172|110231|110299|110379|110475|111897|112432|131889|132437|132450|134029,12,12,144.03673999999998,845.0,12,True,110150|110278|110393|110475|111391|111897|112432|121875|131889|132437|132450|139112,12,12,133.58408,257.0,12,True,110487|110609|111359|111897|116363|125639|132437|134028|139112,9,9,47.60762,2029.0,9,True,True,True,True
G28_9,True,109989|110178|110221|110299|111261|111380|111391|112394|120450|121875|123310|136923,12,12,136.44493,2113.0,12,True,110150|110172|110231|110278|110379|110393|111897|112432|131889|132437|132450|139112,12,12,132.69446000000002,347.0,12,True,110172|110269|110299|110301|111228|111356|111391|118532|132437|135013,10,11,96.13219000000001,2197.0,11,True,True,True,True
G29_2,False,,0,0,0.0,0.0,0,False,,0,0,0.0,0.0,0,True,101174|110196|110475|111212|131591|131889|132437,7,8,70.35831,1110.0,8,False,False,True,True
G2_1,False,,0,0,0.0,0.0,0,False,,0,0,0.0,0.0,0,True,101126|110172|110178|110379|111311|112266|120049|121892|132450,9,9,71.08314999999999,755.0,9,False,False,True,True
G2_10,True,101103|101235|101322|107095|107105|107400|110356|110378|110548|110624|121937|126347,12,12,31.1193,3591.0,12,True,107173|110623|111964|112440|118512|121710|123129|123753|124012|127444|136877|136918,12,12,14.341540000000004,262.0,12,True,107144|107301|110210|110351|111264|111996|111997|121937,8,8,59.902429999999995,3217.0,8,True,True,True,True
G2_12,True,110157|110190|110196|110209|110368|110710|112330|120318|131642|131889|132610|133308,12,12,120.28987000000001,1302.0,12,True,101330|109534|110172|110231|110475|110710|111321|124704|132437|132450|133947|134029,12,12,144.13182,1011.0,12,True,110393|111373|111897|112036|112208|112374|118396|121875|132437|134029|139112,11,11,98.72317000000001,2397.0,11,True,True,True,True
G2_13,True,107404|110265|110276|112207|112300|117024|120167|121914|124272|135160|135193|137562,12,12,1.88776,30.0,12,True,107404|107452|110265|110276|112207|112300|117024|120167|124272|135160|135193|137562,12,12,1.14852,30.0,12,True,110328|110393|110404|110442|111391|112432|113098|113201|115089|124008,10,10,81.60588,2639.0,10,True,True,True,True
G2_14,True,101271|107419|107451|110354|111242|111310|112256|117010|123069|125246|131970|141277,12,12,18.25323,1045.0,12,True,107188|107197|110447|111990|112356|113179|114745|115997|117402|121568|131532|132607,12,12,10.6552,585.0,12,True,101134|110150|110252|110429|112273|129717|132437|132450,8,8,62.68339999999999,2854.0,8,True,True,True,True
G2_15,True,107212|107265|107879|110230|110273|110326|110557|110589|112442|113195|118300|129531,12,12,15.736039999999997,2111.0,12,True,101233|110258|110261|110303|110537|111379|111832|112259|113216|122814|134122|141277,12,12,13.340999999999998,1232.0,12,True,110143|110185|110379|110562|112208|124899|132437|134686|139112,9,10,71.7726,2902.0,10,True,True,True,True
G2_2,False,,0,0,0.0,0.0,0,False,,0,0,0.0,0.0,0,True,110150|112307|113124|131889|132437|132450|133947|134642|139112,9,10,65.7223,900.0,10,False,False,True,True
G2_4,False,,0,0,0.0,0.0,0,False,,0,0,0.0,0.0,0,True,110220|122697,2,2,8.32684,729.0,2,False,False,True,True
G2_5,False,,0,0,0.0,0.0,0,False,,0,0,0.0,0.0,0,True,110195|110198|110201|110295|111997|115589|131656,7,9,71.89224,1385.0,9,False,False,True,True
G2_6,False,,0,0,0.0,0.0,0,False,,0,0,0.0,0.0,0,True,101311|107195|111964|111997|112252|112392|126345|139114,8,10,59.940169999999995,1831.0,10,False,False,True,True
G2_7,True,110195|110305|111964|111997|113097|115589,6,12,139.90048,819.0,12,False,,0,0,0.0,0.0,0,True,107336|110305|110437|111964|111997|112367|115589|138661,8,8,65.23238,2238.0,8,True,True,True,True
G2_8,True,110195|110295|110339|110349|110437|111207|111996|111997|113097|114762|115589|129782,12,12,118.85431,1678.0,12,False,,0,0,0.0,0.0,0,True,107116|107347|110195|110255|114762|125469|134553|135420|136918,9,10,50.04868,2616.0,10,True,True,True,True
G2_9,True,110246|110438|111258|112210|112278|119948|122697|125469|133206|138661|149398|149642,12,12,16.71278,1317.0,12,True,110255|110305|110428|110615|111317|112392|115771|127627|131656|134677|136967|139114,12,12,49.02989,3380.0,12,True,101103|110295|110305|110344|110349|111226|111997|112440|113097,9,11,94.60359000000001,2756.0,11,True,True,True,True
G30_10,True,110161|110178|110278|110292|110342|110393|110432|110492|112208|112394|115988|121875,12,12,142.67332000000002,1066.0,12,True,110150|110278|110393|110475|111391|111897|121875|131889|132437|132450|139112,11,12,134.04408,284.0,12,True,101027|107154|109534|109969|110172|111243|112078|112191|122814|127260|131889,11,11,60.8303,2074.0,11,True,True,True,True
G30_12,True,101200|110297|110298|110324|110466|110492|111283|111380|111999|124207|125535|134683,12,12,117.30896999999999,3632.0,12,True,110150|110278|110393|110475|111391|111897|121875|131889|132437|132450|139112,11,12,134.03408000000002,253.0,12,True,101165|110150|110278|110426|110478|111276|112452|113205|131889|135157|139112,11,11,76.29299,2462.0,11,True,True,True,True
G30_13,True,101031|101165|105271|107110|111378|112193|114745|114747|115573|120359|133307|135156,12,12,13.54561,375.0,12,True,107229|110441|111236|111314|111333|113230|115573|120184|122778|136977|139148|149920,12,12,3.22154,236.0,12,True,110171|110189|110253|110273|111391|127332|139112,7,8,40.94202,2571.0,8,True,True,True,True
